PLAZAS DE VICENTE LOPEZ,LATITUD,LONGITUD,Direccion
Plaza Jose Ingenieros,"-34,530973","-58,5438446","Doctor José Ingenieros, Villa Adelina, Buenos Aires"
Plaza Soldados Argentinos,"-34,5301869","-58,5506561","Santiago del Estero, Villa Adelina, Buenos Aires"
Plaza Domingo Faustino Sarmiento,"-34,531588","-58,5345601","Lope de Vega, Carapachay, Buenos Aires"
Plaza Leandro N. Alem,"-34,5289904","-58,5189685","Luis Terragno, Munro, Buenos Aires"
Plaza Valdivielso Saez,"-34,5150274","-58,5056152","Juan Bautista Justo, Olivos, Buenos Aires"
Plaza Olivos,"-34,5088641","-58,4861818","Salta, Olivos, Buenos Aires"
Plaza La Paz,"-34,5388946","-58,5236006","Cornelio Saavedra, Florida Oeste, Buenos Aires"
Plaza Almafuerte,"-34,5503279","-58,5193228","General las Heras, Villa Martelli, Buenos Aires"
Plaza Güemes,"-34,5244593","-34,5244593","Plaza Güemes, Ricardo Gutiérrez, Munro, Buenos Aires"
Plaza Vicente Lopez,"-34,5245698","-58,4732069","Miguel de Azcuénaga, Vicente López, Buenos Aires"
Plaza de los Inmigrantes,"-34,5142124","-58,4891379","Fernan Felix de Amador, Olivos, Buenos Aires"
Plaza,"-34,5149951","-58,5004729","Olivos, Buenos Aires"
Plaza Presidenta Cristina Kirchner,"-34,5156178","-58,5192779","Esteban Echeverria, Munro, Buenos Aires"
Plaza De La Memoria,"-34,5144091","-58,5246368","Guillermo White, Munro, Buenos Aires"
Plaza Almirante Brown,"-34,5188174","-58,5472711","Soldado de Malvinas, Villa Adelina, Buenos Aires"
Plaza Libertad,"-34,5276126","-58,5031407","Esmeralda, Florida, Buenos Aires"
Plaza Remedios de Escalada de San Martín,"-34,5295271","-58,4942345","Florida, Buenos Aires"
Plaza Hector Eduardo Gonzalez,"-34,5313468","-58,4943407","General Justo José de Urquiza, Florida, Buenos Aires"
